aircraft,aircraftLabel,engine,engineLabel,maxAltitude,price,totalProduced
http://www.wikidata.org/entity/Q34945,Грумман F-14 «Томкэт»,http://www.wikidata.org/entity/Q2574100,TF30,18000,,712
http://www.wikidata.org/entity/Q911001,Иљушин Ил-12,http://www.wikidata.org/entity/Q1050634,АШ-82,6700,,663
http://www.wikidata.org/entity/Q694456,Saab 29 Tunnan,http://www.wikidata.org/entity/Q287493,de Havilland Ghost,,,661
http://www.wikidata.org/entity/Q461475,Saab 35 Draken,http://www.wikidata.org/entity/Q2164321,Rolls-Royce Avon,,,644
http://www.wikidata.org/entity/Q852153,Як-25,http://www.wikidata.org/entity/Q926903,РД-9,,,638
http://www.wikidata.org/entity/Q688148,Pilatus PC-7,http://www.wikidata.org/entity/Q106296434,PT6A-25A,,,618
http://www.wikidata.org/entity/Q688148,Pilatus PC-7,http://www.wikidata.org/entity/Q18003208,PT6A-25C,,,618
http://www.wikidata.org/entity/Q29261,F-35,http://www.wikidata.org/entity/Q1368421,Pratt & Whitney F135,,,610
http://www.wikidata.org/entity/Q190211,Douglas DC-3,http://www.wikidata.org/entity/Q113179801,Twin Wasp S1C3G,24100,,607
http://www.wikidata.org/entity/Q575356,Avro Lincoln,http://www.wikidata.org/entity/Q1412885,Rolls-Royce Merlin,,,604
http://www.wikidata.org/entity/Q15896404,FR172 Reims Rocket,http://www.wikidata.org/entity/Q15896396,IO-360-D,,,590
http://www.wikidata.org/entity/Q381249,Aero 45,http://www.wikidata.org/entity/Q1258445,Avia M 332,4350,,590
http://www.wikidata.org/entity/Q522161,Kawasaki Ki-10,http://www.wikidata.org/entity/Q3814053,Q3814053,,,588
